Year,Age category,Single Year of Age,UNIT,VALUE
2013,200,0,Number,68583
2013,001,1,Number,71785
2013,002,2,Number,70638
2013,003,3,Number,71057
2013,004,4,Number,70956
2013,005,5,Number,71923
2013,006,6,Number,66561
2013,007,7,Number,65092
2013,008,8,Number,65035
2013,009,9,Number,64418
2013,010,10,Number,63531
2013,011,11,Number,62233
2013,012,12,Number,61009
2013,013,13,Number,60321
2013,014,14,Number,60767
2013,015,15,Number,59555
2013,016,16,Number,58103
2013,017,17,Number,55957
2013,018,18,Number,55485
2013,019,19,Number,55285
2013,020,20,Number,55635
2013,021,21,Number,54331
2013,022,22,Number,56510
2013,023,23,Number,55930
2013,024,24,Number,56487
2013,025,25,Number,58836
2013,026,26,Number,61342
2013,027,27,Number,64878
2013,028,28,Number,66844
2013,029,29,Number,69940
2013,030,30,Number,74977
2013,031,31,Number,77785
2013,032,32,Number,81150
2013,033,33,Number,80253
2013,034,34,Number,77200
2013,035,35,Number,74791
2013,036,36,Number,74178
2013,037,37,Number,73412
2013,038,38,Number,73109
2013,039,39,Number,71358
2013,040,40,Number,71454
2013,041,41,Number,69743
2013,042,42,Number,69186
2013,043,43,Number,67113
2013,044,44,Number,63532
2013,045,45,Number,62806
2013,046,46,Number,62236
2013,047,47,Number,61962
2013,048,48,Number,62451
2013,049,49,Number,60662
2013,050,50,Number,59038
2013,051,51,Number,57322
2013,052,52,Number,57705
2013,053,53,Number,55396
2013,054,54,Number,53317
2013,055,55,Number,52684
2013,056,56,Number,51499
2013,057,57,Number,49848
2013,058,58,Number,49515
2013,059,59,Number,47581
2013,060,60,Number,47682
2013,061,61,Number,45028
2013,062,62,Number,44183
2013,063,63,Number,43496
2013,064,64,Number,42804
2013,065,65,Number,41988
2013,066,66,Number,40246
2013,067,67,Number,38736
2013,068,68,Number,35470
2013,069,69,Number,33585
2013,070,70,Number,31561
2013,071,71,Number,28378
2013,072,72,Number,26901
2013,073,73,Number,26545
2013,074,74,Number,25301
2013,075,75,Number,23301
2013,076,76,Number,22472
2013,077,77,Number,21363
2013,078,78,Number,20118
2013,079,79,Number,19100
2013,080,80,Number,17121
2013,081,81,Number,15793
2013,082,82,Number,14903
2013,083,83,Number,13435
2013,084,84,Number,12130
2013,085,85,Number,10509
2013,086,86,Number,9262
2013,087,87,Number,8011
2013,088,88,Number,7284
2013,089,89,Number,6241
2013,090,90,Number,4858
2013,091,91,Number,3469
2013,092,92,Number,3041
2013,093,93,Number,2285
2013,094,94,Number,1637
2013,095,95,Number,1181
2013,096,96,Number,1011
2013,097,97,Number,669
2013,098,98,Number,429
2013,646,99,Number,852
2014,200,0,Number,66935
2014,001,1,Number,67658
2014,002,2,Number,70776
2014,003,3,Number,69914
2014,004,4,Number,70075
2014,005,5,Number,72958
2014,006,6,Number,71172
2014,007,7,Number,67412
2014,008,8,Number,65353
2014,009,9,Number,65207
2014,010,10,Number,63957
2014,011,11,Number,63289
2014,012,12,Number,61999
2014,013,13,Number,60720
2014,014,14,Number,60091
2014,015,15,Number,60993
2014,016,16,Number,59478
2014,017,17,Number,58022
2014,018,18,Number,56673
2014,019,19,Number,55413
