Year,Age category,Single Year of Age,UNIT,VALUE,Age Group
2020,052,52,Number,63491,45-64 years old
2020,053,53,Number,62203,45-64 years old
2020,054,54,Number,62262,45-64 years old
2020,055,55,Number,62037,45-64 years old
2020,056,56,Number,60441,45-64 years old
2020,057,57,Number,59055,45-64 years old
2020,058,58,Number,57145,45-64 years old
2020,059,59,Number,57346,45-64 years old
2020,060,60,Number,54796,45-64 years old
2020,061,61,Number,54357,45-64 years old
2020,062,62,Number,52086,45-64 years old
2020,063,63,Number,50788,45-64 years old
2020,064,64,Number,49574,45-64 years old
2020,065,65,Number,48726,65 and over
2020,066,66,Number,47147,65 and over
2020,067,67,Number,46018,65 and over
2020,068,68,Number,44637,65 and over
2020,069,69,Number,42189,65 and over
2020,070,70,Number,41504,65 and over
2020,071,71,Number,39973,65 and over
2020,072,72,Number,38803,65 and over
2020,073,73,Number,36977,65 and over
2020,074,74,Number,35253,65 and over
2020,075,75,Number,33706,65 and over
2020,076,76,Number,29527,65 and over
2020,077,77,Number,27236,65 and over
2020,078,78,Number,25735,65 and over
2020,079,79,Number,22294,65 and over
2020,080,80,Number,21353,65 and over
2020,081,81,Number,19682,65 and over
2020,082,82,Number,17828,65 and over
2020,083,83,Number,16521,65 and over
2020,084,84,Number,15409,65 and over
2020,085,85,Number,13585,65 and over
2020,086,86,Number,11430,65 and over
2020,087,87,Number,9583,65 and over
2020,088,88,Number,8342,65 and over
2020,089,89,Number,7368,65 and over
2020,090,90,Number,6250,65 and over
2020,091,91,Number,5207,65 and over
2020,092,92,Number,3962,65 and over
2020,093,93,Number,2874,65 and over
2020,094,94,Number,2461,65 and over
2020,095,95,Number,1453,65 and over
2020,096,96,Number,853,65 and over
2020,097,97,Number,744,65 and over
2020,098,98,Number,435,65 and over
2020,646,99,Number,1050,65 and over
2021,200,0,Number,55868,0-14 years old
2021,001,1,Number,58014,0-14 years old
2021,002,2,Number,59718,0-14 years old
2021,003,3,Number,63108,0-14 years old
2021,004,4,Number,64158,0-14 years old
2021,005,5,Number,64283,0-14 years old
2021,006,6,Number,66499,0-14 years old
2021,007,7,Number,68850,0-14 years old
2021,008,8,Number,70358,0-14 years old
2021,009,9,Number,72714,0-14 years old
2021,010,10,Number,74024,0-14 years old
2021,011,11,Number,74585,0-14 years old
2021,012,12,Number,73922,0-14 years old
2021,013,13,Number,72698,0-14 years old
2021,014,14,Number,68803,0-14 years old
2021,015,15,Number,66694,15-24 years old
2021,016,16,Number,66321,15-24 years old
2021,017,17,Number,66372,15-24 years old
2021,018,18,Number,65051,15-24 years old
2021,019,19,Number,64527,15-24 years old
2021,020,20,Number,62599,15-24 years old
2021,021,21,Number,62619,15-24 years old
2021,022,22,Number,63377,15-24 years old
2021,023,23,Number,62826,15-24 years old
2021,024,24,Number,59969,15-24 years old
2021,025,25,Number,58326,25-44 years old
2021,026,26,Number,58761,25-44 years old
2021,027,27,Number,58383,25-44 years old
2021,028,28,Number,58740,25-44 years old
2021,029,29,Number,60633,25-44 years old
2021,030,30,Number,63947,25-44 years old
2021,031,31,Number,63850,25-44 years old
2021,032,32,Number,66868,25-44 years old
2021,033,33,Number,66406,25-44 years old
2021,034,34,Number,69399,25-44 years old
2021,035,35,Number,72631,25-44 years old
2021,036,36,Number,73287,25-44 years old
2021,037,37,Number,75855,25-44 years old
2021,038,38,Number,79507,25-44 years old
2021,039,39,Number,81727,25-44 years old
2021,040,40,Number,84033,25-44 years old
2021,041,41,Number,85923,25-44 years old
2021,042,42,Number,79925,25-44 years old
2021,043,43,Number,77530,25-44 years old
2021,044,44,Number,76172,25-44 years old
2021,045,45,Number,76693,45-64 years old
2021,046,46,Number,74399,45-64 years old
2021,047,47,Number,73279,45-64 years old
2021,048,48,Number,72730,45-64 years old
2021,049,49,Number,71066,45-64 years old
2021,050,50,Number,70666,45-64 years old
2021,051,51,Number,68074,45-64 years old
2021,052,52,Number,64571,45-64 years old
2021,053,53,Number,63766,45-64 years old
2021,054,54,Number,62466,45-64 years old
2021,055,55,Number,62283,45-64 years old
2021,056,56,Number,62116,45-64 years old
2021,057,57,Number,60514,45-64 years old
2021,058,58,Number,59064,45-64 years old
2021,059,59,Number,57217,45-64 years old
2021,060,60,Number,57192,45-64 years old
2021,061,61,Number,54726,45-64 years old
2021,062,62,Number,54122,45-64 years old
2021,063,63,Number,51825,45-64 years old
2021,064,64,Number,50590,45-64 years old
2021,065,65,Number,49080,65 and over
2021,066,66,Number,48082,65 and over
2021,067,67,Number,47114,65 and over
2021,068,68,Number,45581,65 and over
2021,069,69,Number,44224,65 and over
2021,070,70,Number,41582,65 and over
2021,071,71,Number,40922,65 and over
2021,072,72,Number,39354,65 and over
2021,073,73,Number,38068,65 and over
2021,074,74,Number,36302,65 and over
2021,075,75,Number,34334,65 and over
2021,076,76,Number,32509,65 and over
2021,077,77,Number,28583,65 and over
2021,078,78,Number,26414,65 and over
2021,079,79,Number,25381,65 and over
2021,080,80,Number,21267,65 and over
2021,081,81,Number,20110,65 and over
2021,082,82,Number,18537,65 and over
2021,083,83,Number,16815,65 and over
2021,084,84,Number,15646,65 and over
2021,085,85,Number,13858,65 and over
2021,086,86,Number,11792,65 and over
2021,087,87,Number,9991,65 and over
2021,088,88,Number,8391,65 and over
2021,089,89,Number,7285,65 and over
2021,090,90,Number,6220,65 and over
2021,091,91,Number,5535,65 and over
2021,092,92,Number,3900,65 and over
2021,093,93,Number,3070,65 and over
2021,094,94,Number,2298,65 and over
2021,095,95,Number,1489,65 and over
2021,096,96,Number,1086,65 and over
2021,097,97,Number,896,65 and over
2021,098,98,Number,597,65 and over
2021,646,99,Number,1136,65 and over
2022,200,0,Number,57684,0-14 years old
2022,001,1,Number,56631,0-14 years old
2022,002,2,Number,59250,0-14 years old
2022,003,3,Number,60596,0-14 years old
2022,004,4,Number,61673,0-14 years old
2022,005,5,Number,64232,0-14 years old
2022,006,6,Number,66903,0-14 years old
2022,007,7,Number,69184,0-14 years old
2022,008,8,Number,70916,0-14 years old
2022,009,9,Number,72344,0-14 years old
2022,010,10,Number,74362,0-14 years old
2022,011,11,Number,75309,0-14 years old
2022,012,12,Number,76409,0-14 years old
2022,013,13,Number,75331,0-14 years old
2022,014,14,Number,73468,0-14 years old
2022,015,15,Number,70285,15-24 years old
2022,016,16,Number,67922,15-24 years old
2022,017,17,Number,67840,15-24 years old
2022,018,18,Number,66667,15-24 years old
2022,019,19,Number,65062,15-24 years old
2022,020,20,Number,64285,15-24 years old
2022,021,21,Number,62016,15-24 years old
2022,022,22,Number,63148,15-24 years old
2022,023,23,Number,61910,15-24 years old
2022,024,24,Number,60582,15-24 years old
2022,025,25,Number,60299,25-44 years old
2022,026,26,Number,58928,25-44 years old
2022,027,27,Number,59374,25-44 years old
2022,028,28,Number,59200,25-44 years old
2022,029,29,Number,61333,25-44 years old
2022,030,30,Number,64580,25-44 years old
2022,031,31,Number,66283,25-44 years old
2022,032,32,Number,67159,25-44 years old
2022,033,33,Number,66717,25-44 years old
2022,034,34,Number,69787,25-44 years old
2022,035,35,Number,73565,25-44 years old
2022,036,36,Number,75211,25-44 years old
2022,037,37,Number,76151,25-44 years old
2022,038,38,Number,79016,25-44 years old
2022,039,39,Number,81867,25-44 years old
2022,040,40,Number,84847,25-44 years old
2022,041,41,Number,85510,25-44 years old
2022,042,42,Number,85562,25-44 years old
2022,043,43,Number,81081,25-44 years old
2022,044,44,Number,77726,25-44 years old
2022,045,45,Number,77106,45-64 years old
2022,046,46,Number,75821,45-64 years old
2022,047,47,Number,74852,45-64 years old
2022,048,48,Number,74064,45-64 years old
2022,049,49,Number,74162,45-64 years old
2022,050,50,Number,73528,45-64 years old
2022,051,51,Number,70348,45-64 years old
2022,052,52,Number,69156,45-64 years old
2022,053,53,Number,65229,45-64 years old
2022,054,54,Number,64618,45-64 years old
2022,055,55,Number,63761,45-64 years old
2022,056,56,Number,62359,45-64 years old
2022,057,57,Number,63101,45-64 years old
2022,058,58,Number,60908,45-64 years old
2022,059,59,Number,59615,45-64 years old
2022,060,60,Number,58920,45-64 years old
2022,061,61,Number,57109,45-64 years old
2022,062,62,Number,55525,45-64 years old
2022,063,63,Number,52647,45-64 years old
2022,064,64,Number,51633,45-64 years old
2022,065,65,Number,50991,65 and over
2022,066,66,Number,48871,65 and over
2022,067,67,Number,48501,65 and over
2022,068,68,Number,45890,65 and over
2022,069,69,Number,46229,65 and over
2022,070,70,Number,44013,65 and over
2022,071,71,Number,41933,65 and over
2022,072,72,Number,41412,65 and over
2022,073,73,Number,39497,65 and over
2022,074,74,Number,37829,65 and over
2022,075,75,Number,36087,65 and over
2022,076,76,Number,33937,65 and over
2022,077,77,Number,30686,65 and over
2022,078,78,Number,28119,65 and over
2022,079,79,Number,26188,65 and over
2022,080,80,Number,23000,65 and over
2022,081,81,Number,20672,65 and over
2022,082,82,Number,19555,65 and over
2022,083,83,Number,17890,65 and over
2022,084,84,Number,15641,65 and over
2022,085,85,Number,14486,65 and over
2022,086,86,Number,12856,65 and over
2022,087,87,Number,11255,65 and over
2022,088,88,Number,9696,65 and over
2022,089,89,Number,7965,65 and over
2022,090,90,Number,6724,65 and over
2022,091,91,Number,5720,65 and over
2022,092,92,Number,4094,65 and over
2022,093,93,Number,3251,65 and over
2022,094,94,Number,2453,65 and over
2022,095,95,Number,1821,65 and over
2022,096,96,Number,1282,65 and over
2022,097,97,Number,949,65 and over
2022,098,98,Number,621,65 and over
2022,646,99,Number,1185,65 and over
2023,200,0,Number,55716,0-14 years old
2023,001,1,Number,58637,0-14 years old
2023,002,2,Number,57598,0-14 years old
2023,003,3,Number,60245,0-14 years old
2023,004,4,Number,61573,0-14 years old
2023,005,5,Number,62747,0-14 years old
2023,006,6,Number,65358,0-14 years old
2023,007,7,Number,68062,0-14 years old
2023,008,8,Number,70395,0-14 years old
2023,009,9,Number,72084,0-14 years old
2023,010,10,Number,73540,0-14 years old
2023,011,11,Number,75509,0-14 years old
2023,012,12,Number,76424,0-14 years old
2023,013,13,Number,77440,0-14 years old
2023,014,14,Number,76311,0-14 years old
2023,015,15,Number,74696,15-24 years old
2023,016,16,Number,70807,15-24 years old
2023,017,17,Number,68596,15-24 years old
2023,018,18,Number,68402,15-24 years old
2023,019,19,Number,66954,15-24 years old
2023,020,20,Number,65359,15-24 years old
2023,021,21,Number,64553,15-24 years old
2023,022,22,Number,62414,15-24 years old
2023,023,23,Number,63319,15-24 years old
2023,024,24,Number,62115,15-24 years old
2023,025,25,Number,61676,25-44 years old
2023,026,26,Number,62704,25-44 years old
2023,027,27,Number,61053,25-44 years old
2023,028,28,Number,61605,25-44 years old
2023,029,29,Number,61465,25-44 years old
2023,030,30,Number,63533,25-44 years old
2023,031,31,Number,66723,25-44 years old
2023,032,32,Number,68518,25-44 years old
2023,033,33,Number,69307,25-44 years old
2023,034,34,Number,68901,25-44 years old
2023,035,35,Number,72045,25-44 years old
2023,036,36,Number,75773,25-44 years old
2023,037,37,Number,77265,25-44 years old
2023,038,38,Number,78308,25-44 years old
2023,039,39,Number,81113,25-44 years old
2023,040,40,Number,83736,25-44 years old
2023,041,41,Number,86640,25-44 years old
2023,042,42,Number,87230,25-44 years old
2023,043,43,Number,87281,25-44 years old
2023,044,44,Number,82847,25-44 years old
2023,045,45,Number,78841,45-64 years old
2023,046,46,Number,77652,45-64 years old
2023,047,47,Number,76335,45-64 years old
2023,048,48,Number,75337,45-64 years old
2023,049,49,Number,74571,45-64 years old
2023,050,50,Number,74617,45-64 years old
2023,051,51,Number,73900,45-64 years old
2023,052,52,Number,70705,45-64 years old
2023,053,53,Number,69573,45-64 years old
2023,054,54,Number,65677,45-64 years old
2023,055,55,Number,64931,45-64 years old
2023,056,56,Number,64063,45-64 years old
2023,057,57,Number,62712,45-64 years old
2023,058,58,Number,63386,45-64 years old
2023,059,59,Number,61217,45-64 years old
2023,060,60,Number,59936,45-64 years old
2023,061,61,Number,59205,45-64 years old
2023,062,62,Number,57388,45-64 years old
2023,063,63,Number,55789,45-64 years old
2023,064,64,Number,52904,45-64 years old
2023,065,65,Number,51575,65 and over
2023,066,66,Number,50772,65 and over
2023,067,67,Number,48556,65 and over
2023,068,68,Number,48298,65 and over
2023,069,69,Number,45628,65 and over
2023,070,70,Number,45793,65 and over
2023,071,71,Number,43419,65 and over
2023,072,72,Number,41412,65 and over
2023,073,73,Number,40895,65 and over
2023,074,74,Number,39026,65 and over
2023,075,75,Number,36963,65 and over
2023,076,76,Number,35086,65 and over
2023,077,77,Number,32978,65 and over
2023,078,78,Number,29757,65 and over
2023,079,79,Number,27306,65 and over
2023,080,80,Number,25056,65 and over
2023,081,81,Number,21745,65 and over
2023,082,82,Number,19552,65 and over
2023,083,83,Number,18477,65 and over
2023,084,84,Number,16930,65 and over
2023,085,85,Number,13963,65 and over
2023,086,86,Number,12534,65 and over
2023,087,87,Number,11121,65 and over
2023,088,88,Number,9778,65 and over
2023,089,89,Number,8352,65 and over
2023,090,90,Number,6911,65 and over
2023,091,91,Number,5806,65 and over
2023,092,92,Number,5001,65 and over
2023,093,93,Number,3545,65 and over
2023,094,94,Number,2807,65 and over
2023,095,95,Number,2128,65 and over
2023,096,96,Number,1581,65 and over
2023,097,97,Number,1116,65 and over
2023,098,98,Number,829,65 and over
2023,646,99,Number,1600,65 and over
