,Year,Age category,Single Year of Age,UNIT,VALUE,Age Group
9537,2016,047,47,Number,63471,45-64 years old
9540,2016,048,48,Number,62745,45-64 years old
9543,2016,049,49,Number,61552,45-64 years old
9546,2016,050,50,Number,61773,45-64 years old
9549,2016,051,51,Number,61476,45-64 years old
9552,2016,052,52,Number,59907,45-64 years old
9555,2016,053,53,Number,58605,45-64 years old
9558,2016,054,54,Number,56688,45-64 years old
9561,2016,055,55,Number,56889,45-64 years old
9564,2016,056,56,Number,54587,45-64 years old
9567,2016,057,57,Number,54049,45-64 years old
9570,2016,058,58,Number,51981,45-64 years old
9573,2016,059,59,Number,50707,45-64 years old
9576,2016,060,60,Number,49484,45-64 years old
9579,2016,061,61,Number,48861,45-64 years old
9582,2016,062,62,Number,46716,45-64 years old
9585,2016,063,63,Number,46933,45-64 years old
9588,2016,064,64,Number,44476,45-64 years old
9591,2016,065,65,Number,43529,65 and over
9594,2016,066,66,Number,42907,65 and over
9597,2016,067,67,Number,41761,65 and over
9600,2016,068,68,Number,40781,65 and over
9603,2016,069,69,Number,38991,65 and over
9606,2016,070,70,Number,37344,65 and over
9609,2016,071,71,Number,34090,65 and over
9612,2016,072,72,Number,31888,65 and over
9615,2016,073,73,Number,29768,65 and over
9618,2016,074,74,Number,26812,65 and over
9621,2016,075,75,Number,25079,65 and over
9624,2016,076,76,Number,24393,65 and over
9627,2016,077,77,Number,23078,65 and over
9630,2016,078,78,Number,21296,65 and over
9633,2016,079,79,Number,20332,65 and over
9636,2016,080,80,Number,19113,65 and over
9639,2016,081,81,Number,17705,65 and over
9642,2016,082,82,Number,16237,65 and over
9645,2016,083,83,Number,14391,65 and over
9648,2016,084,84,Number,13019,65 and over
9651,2016,085,85,Number,11886,65 and over
9654,2016,086,86,Number,10291,65 and over
9657,2016,087,87,Number,8757,65 and over
9660,2016,088,88,Number,7365,65 and over
9663,2016,089,89,Number,6402,65 and over
9666,2016,090,90,Number,5362,65 and over
9669,2016,091,91,Number,4370,65 and over
9672,2016,092,92,Number,3414,65 and over
9675,2016,093,93,Number,2727,65 and over
9678,2016,094,94,Number,2061,65 and over
9681,2016,095,95,Number,1548,65 and over
9684,2016,096,96,Number,1201,65 and over
9687,2016,097,97,Number,730,65 and over
9690,2016,098,98,Number,449,65 and over
9693,2016,646,99,Number,770,65 and over
9699,2017,200,0,Number,63468,0-14 years old
9702,2017,001,1,Number,62571,0-14 years old
9705,2017,002,2,Number,64147,0-14 years old
9708,2017,003,3,Number,66505,0-14 years old
9711,2017,004,4,Number,68282,0-14 years old
9714,2017,005,5,Number,71153,0-14 years old
9717,2017,006,6,Number,72699,0-14 years old
9720,2017,007,7,Number,72781,0-14 years old
9723,2017,008,8,Number,72408,0-14 years old
9726,2017,009,9,Number,71678,0-14 years old
9729,2017,010,10,Number,67214,0-14 years old
9732,2017,011,11,Number,64979,0-14 years old
9735,2017,012,12,Number,64341,0-14 years old
9738,2017,013,13,Number,64587,0-14 years old
9741,2017,014,14,Number,63543,0-14 years old
9744,2017,015,15,Number,63066,15-24 years old
9747,2017,016,16,Number,61725,15-24 years old
9750,2017,017,17,Number,61562,15-24 years old
9753,2017,018,18,Number,61681,15-24 years old
9756,2017,019,19,Number,61559,15-24 years old
9759,2017,020,20,Number,57926,15-24 years old
9762,2017,021,21,Number,56290,15-24 years old
9765,2017,022,22,Number,54735,15-24 years old
9768,2017,023,23,Number,54318,15-24 years old
9771,2017,024,24,Number,54152,15-24 years old
9774,2017,025,25,Number,55652,25-44 years old
9777,2017,026,26,Number,58360,25-44 years old
9780,2017,027,27,Number,57274,25-44 years old
9783,2017,028,28,Number,62394,25-44 years old
9786,2017,029,29,Number,60281,25-44 years old
9789,2017,030,30,Number,63480,25-44 years old
9792,2017,031,31,Number,68624,25-44 years old
9795,2017,032,32,Number,68760,25-44 years old
9798,2017,033,33,Number,72173,25-44 years old
9801,2017,034,34,Number,76134,25-44 years old
9804,2017,035,35,Number,78034,25-44 years old
9807,2017,036,36,Number,81839,25-44 years old
9810,2017,037,37,Number,83552,25-44 years old
9813,2017,038,38,Number,77683,25-44 years old
9816,2017,039,39,Number,75015,25-44 years old
9819,2017,040,40,Number,73290,25-44 years old
9822,2017,041,41,Number,73987,25-44 years old
9825,2017,042,42,Number,72709,25-44 years old
9828,2017,043,43,Number,72018,25-44 years old
9831,2017,044,44,Number,71997,25-44 years old
9834,2017,045,45,Number,70140,45-64 years old
9837,2017,046,46,Number,70447,45-64 years old
9840,2017,047,47,Number,67197,45-64 years old
9843,2017,048,48,Number,63785,45-64 years old
9846,2017,049,49,Number,63013,45-64 years old
9849,2017,050,50,Number,61813,45-64 years old
9852,2017,051,51,Number,61986,45-64 years old
9855,2017,052,52,Number,61735,45-64 years old
9858,2017,053,53,Number,60178,45-64 years old
9861,2017,054,54,Number,58823,45-64 years old
9864,2017,055,55,Number,56927,45-64 years old
9867,2017,056,56,Number,57071,45-64 years old
9870,2017,057,57,Number,54760,45-64 years old
9873,2017,058,58,Number,54304,45-64 years old
9876,2017,059,59,Number,52178,45-64 years old
9879,2017,060,60,Number,50871,45-64 years old
9882,2017,061,61,Number,49587,45-64 years old
9885,2017,062,62,Number,49000,45-64 years old
9888,2017,063,63,Number,46950,45-64 years old
9891,2017,064,64,Number,47096,45-64 years old
9894,2017,065,65,Number,44340,65 and over
9897,2017,066,66,Number,43732,65 and over
9900,2017,067,67,Number,42598,65 and over
9903,2017,068,68,Number,41560,65 and over
9906,2017,069,69,Number,40434,65 and over
9909,2017,070,70,Number,38573,65 and over
9912,2017,071,71,Number,36977,65 and over
9915,2017,072,72,Number,33614,65 and over
9918,2017,073,73,Number,31537,65 and over
9921,2017,074,74,Number,29382,65 and over
9924,2017,075,75,Number,26221,65 and over
9927,2017,076,76,Number,24352,65 and over
9930,2017,077,77,Number,23637,65 and over
9933,2017,078,78,Number,22327,65 and over
9936,2017,079,79,Number,20811,65 and over
9939,2017,080,80,Number,19379,65 and over
9942,2017,081,81,Number,18098,65 and over
9945,2017,082,82,Number,16740,65 and over
9948,2017,083,83,Number,15382,65 and over
9951,2017,084,84,Number,13604,65 and over
9954,2017,085,85,Number,11980,65 and over
