Year,Age category,Single Year of Age,UNIT,VALUE
2023,035,35 years,Number,72045
2023,036,36 years,Number,75773
2023,037,37 years,Number,77265
2023,038,38 years,Number,78308
2023,039,39 years,Number,81113
2023,040,40 years,Number,83736
2023,041,41 years,Number,86640
2023,042,42 years,Number,87230
2023,043,43 years,Number,87281
2023,044,44 years,Number,82847
2023,045,45 years,Number,78841
2023,046,46 years,Number,77652
2023,047,47 years,Number,76335
2023,048,48 years,Number,75337
2023,049,49 years,Number,74571
2023,050,50 years,Number,74617
2023,051,51 years,Number,73900
2023,052,52 years,Number,70705
2023,053,53 years,Number,69573
2023,054,54 years,Number,65677
2023,055,55 years,Number,64931
2023,056,56 years,Number,64063
2023,057,57 years,Number,62712
2023,058,58 years,Number,63386
2023,059,59 years,Number,61217
2023,060,60 years,Number,59936
2023,061,61 years,Number,59205
2023,062,62 years,Number,57388
2023,063,63 years,Number,55789
2023,064,64 years,Number,52904
2023,065,65 years,Number,51575
2023,066,66 years,Number,50772
2023,067,67 years,Number,48556
2023,068,68 years,Number,48298
2023,069,69 years,Number,45628
2023,070,70 years,Number,45793
2023,071,71 years,Number,43419
2023,072,72 years,Number,41412
2023,073,73 years,Number,40895
2023,074,74 years,Number,39026
2023,075,75 years,Number,36963
2023,076,76 years,Number,35086
2023,077,77 years,Number,32978
2023,078,78 years,Number,29757
2023,079,79 years,Number,27306
2023,080,80 years,Number,25056
2023,081,81 years,Number,21745
2023,082,82 years,Number,19552
2023,083,83 years,Number,18477
2023,084,84 years,Number,16930
2023,085,85 years,Number,13963
2023,086,86 years,Number,12534
2023,087,87 years,Number,11121
2023,088,88 years,Number,9778
2023,089,89 years,Number,8352
2023,090,90 years,Number,6911
2023,091,91 years,Number,5806
2023,092,92 years,Number,5001
2023,093,93 years,Number,3545
2023,094,94 years,Number,2807
2023,095,95 years,Number,2128
2023,096,96 years,Number,1581
2023,097,97 years,Number,1116
2023,098,98 years,Number,829
2023,646,99 years and over,Number,1600
